Unnamed: 0,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbQ
20,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,0.972,5.703,0.074,1.112,6.142,0.0,0.812100242951,0.379340620304,0.415838845558,0.140897666325,0.0618044604845,0.0767774367833,-0.415051262876,0.351902351064,0.306800281167,0.211323319017,0.74780910132,0.0602968903409,0.39836560444,-0.427935155036,-0.53112011277,0.165962026437,0.587289251469,0.0706912866917,0.677326358761,0.732278461867,0.334497477686,0.861836004466,0.381248132885,0.423623132818,0.229449148361,0.876297055603,2.22861731739e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.061,0.149,0.0,0.0,0.0,0.015,0.061,0.149,0.017,0.066,0.155,0.0,0.0,0.0,0.017,0.066,0.155,30162.0,0.01,0.001,0.0,2.9561159266e-14,8.8638158943e-12,5.07647009328e-11,3.45335327568e-32,0.0,0.95195,0.0,3.33361453092e-30,0.0,0.62933174936,0.0,5.47193110978,0.0,4.51635852254,1.523e-23,0.0,0.00574484013078,1.145e-26,0.0,1.145e-26,1.84061034365e-07,1.76357506039e-06,1.90665550794e-06,8.64975317266e-07,2.22861731739e-06,9.85867597511e-07,5.38303509591e-07,2.91564063119e-07,1.11352224166e-06,0.957245117066,0.942532823925
21,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,1.077,5.901,0.07,1.228,6.356,0.0,0.790968323603,0.176294142496,0.566454012845,-0.0183406320646,0.148603361084,-0.0681947747247,-0.483731975076,0.11494461244,0.541452066337,0.513142169314,0.437784603419,-0.0730884299909,0.361081765598,-0.225276753748,-0.539368155164,0.54996523808,0.46920001521,0.0707362217906,0.682595681595,0.727364779457,0.600515672594,0.339129032954,0.724135640593,0.694179207273,0.677461906598,0.243229507459,2.42223254482e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.065,0.151,0.0,0.0,0.0,0.015,0.065,0.151,0.016,0.069,0.157,0.0,0.0,0.0,0.016,0.069,0.157,24214.0,0.01,0.001,0.0,1.31296518435e-11,1.57476250506e-11,5.19332010401e-11,7.64641803125e-32,0.0,0.98595,0.0,7.79865907841e-30,0.0,3.60815129489,0.0,1.16843028027,0.0,0.902518466388,4.073e-23,0.0,0.00574484013078,3.069e-26,0.0,3.069e-26,2.35562104955e-07,2.27314481208e-06,2.42223254482e-06,1.25062301607e-06,7.06263955107e-07,1.50807171272e-06,1.60319162901e-06,1.56458339036e-06,5.61733204051e-07,0.962366151829,0.947621525008
22,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.051,0.941,6.064,0.058,1.088,6.538,0.0,0.815962074709,0.0523411192598,0.556708486015,-0.063536874265,0.132306564762,-0.0440150911805,-0.454084058028,0.0160941303859,0.493410061943,0.0440075302267,0.739067768894,-0.0389973030454,0.352924132054,-0.08890298696,-0.66009076458,0.0389906040518,0.654812905791,0.0708701203783,0.687939225969,0.722299832071,0.53645910022,0.842728426732,0.044949222117,0.267101887063,0.203296390806,0.941980445345,2.26521305868e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.014,0.06,0.154,0.0,0.0,0.0,0.014,0.06,0.154,0.015,0.065,0.159,0.0,0.0,0.0,0.015,0.065,0.159,121988.0,0.01,0.001,0.0,1.07546397439e-12,9.03374190558e-12,4.95252996272e-11,7.37980849599e-32,0.0,1.01395,0.0,6.32252614613e-30,0.0,0.734606082816,0.0,2.02597913616,0.0,5.30858924306,3.203e-23,0.0,0.00574484013078,2.441e-26,0.0,2.441e-26,2.22256623944e-07,2.1574543549e-06,2.26521305868e-06,1.02124574478e-06,1.604284128e-06,8.55688752398e-08,3.14621218219e-07,2.39464269003e-07,1.10956548646e-06,0.967300304215,0.954713206771
23,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,1.092,6.142,0.093,1.271,6.682,0.0,0.831165806427,0.0645833793679,0.529762706834,-0.0209057436289,-0.154618283741,0.0821883425568,-0.370265595478,0.130453312914,0.633993304151,0.644138937031,0.149224389411,0.0912138339354,0.396222038607,-0.00734296991846,-0.544206730748,0.714874886217,0.165611426772,0.0707302836993,0.692361313146,0.718075928455,0.553010523748,0.592371352321,0.585897210757,0.14422573275,0.668172421812,0.72989352151,2.68497946661e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.065,0.155,0.0,0.0,0.0,0.016,0.065,0.155,0.019,0.07,0.161,0.0,0.0,0.0,0.019,0.07,0.161,67616.0,0.01,0.001,0.0,2.74786766686e-15,9.02109748424e-12,5.0570845298e-11,2.52949593136e-33,0.0,1.02729,0.0,1.26297746801e-31,0.0,0.0985637073179,0.0,3.46283782196,0.0,3.23103061915,5.036e-25,0.0,0.00574484013078,3.995e-28,0.0,3.995e-28,7.85496513846e-08,7.68903176057e-07,7.97460591104e-07,8.52403949478e-07,9.13074270003e-07,9.03095103963e-07,5.30547428601e-07,2.45793280779e-06,2.68497946661e-06,0.967964373773,0.955412930334
26,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,0.917,6.259,0.086,1.026,6.791,0.0,0.79529927919,0.442553535518,0.388647263936,-0.0495838236426,0.134685460942,-0.0794397279628,-0.418494788147,0.401377405992,0.430783857602,0.669086433812,0.155551380555,-0.0823863766758,0.423394595352,-0.453658795379,-0.317198385556,0.693904780118,0.161321230063,0.0707635778822,0.70259727613,0.70806043783,0.918382488644,0.262309478547,0.296255534997,0.392941964779,0.653590416253,0.646850972093,2.84831818531e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.06,0.156,0.0,0.0,0.0,0.016,0.06,0.156,0.018,0.063,0.162,0.0,0.0,0.0,0.018,0.063,0.162,36956.0,0.01,0.001,0.0,3.69525331557e-11,3.79646051919e-11,6.20889328013e-11,2.08807705342e-31,0.0,1.04731,0.0,1.37082867038e-29,0.0,3.13697490762,0.0,4.57691016959,0.0,1.03253985589,7.293e-23,0.0,0.00574484013078,5.539e-26,0.0,5.539e-26,2.72577502083e-07,2.70636697902e-06,2.72741078452e-06,2.84831818531e-06,8.13539965279e-07,9.18821992215e-07,1.32232126895e-06,2.19945077405e-06,2.17677131715e-06,0.971117223255,0.959890830766
45,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.07,0.991,5.815,0.082,1.162,6.235,0.0,0.791314686193,0.216809158228,0.550469466823,0.0694433078593,-0.137752856276,0.0775066576859,-0.470425888661,0.258692226994,0.498680925389,0.67502145491,0.0378669123206,0.0825981832877,0.373752336212,-0.153236381214,-0.557576391916,0.719364600674,0.0403544451249,0.0996314042433,0.662673420168,0.742251656443,0.790788007145,0.44392219937,0.421411210888,0.6012237115,0.614563400171,0.510726811417,2.92912018797e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.062,0.15,0.0,0.0,0.0,0.016,0.062,0.15,0.018,0.067,0.156,0.0,0.0,0.0,0.018,0.067,0.156,83857.0,0.01,0.001,0.0,4.12174699532e-11,4.21682721874e-11,6.53247266243e-11,3.17651627434e-31,0.0,0.97128,0.0,1.44016694459e-29,0.0,5.7597719933,0.0,4.54799475081,0.0,2.93491188349,8.035e-23,0.0,0.00574484013078,6.434e-26,0.0,6.434e-26,3.93171716077e-07,2.61508354504e-06,2.92912018797e-06,2.59687151467e-06,1.45779766999e-06,1.38387375584e-06,2.1300925854e-06,2.17735414775e-06,1.80946854449e-06,0.960422217925,0.946369664682
47,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.082,0.987,5.687,0.121,1.174,6.111,0.0,0.831366025394,0.202337081844,0.494656207681,0.0833804582885,-0.127487930841,0.0824678031544,-0.425150336112,0.278250691764,0.540215854683,0.639878435604,0.183698730746,0.0904897791682,0.336286165095,-0.167479840229,-0.563088649781,0.702121993281,0.201567847606,0.100096989037,0.669889381252,0.735682546804,0.94783645547,0.227554424727,0.223215226787,0.302652511151,0.706733084893,0.639476195188,6.23416939689e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.018,0.062,0.149,0.0,0.0,0.0,0.018,0.062,0.149,0.022,0.068,0.154,0.0,0.0,0.0,0.022,0.068,0.154,51070.0,0.01,0.001,0.0,1.68723353144e-10,1.68965452691e-10,1.75716055081e-10,1.92583330573e-30,0.0,0.94929,0.0,1.0711935984e-28,0.0,3.40508858116,0.0,1.65684884709,0.0,2.11931271767,5.926e-22,0.0,0.00574484013078,4.666e-25,0.0,4.666e-25,6.50947308691e-07,4.35640166642e-06,4.78426552585e-06,6.23416939689e-06,1.49668523781e-06,1.4681451929e-06,2.15192440905e-06,5.02502414495e-06,4.54681320237e-06,0.956806635148,0.941614746348
48,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,1.085,5.788,0.082,1.279,6.22,0.0,0.828580997627,0.354629287878,0.410645930521,0.0773771601803,0.114342876383,-0.062114916997,-0.43977666896,0.332113506624,0.446805394422,0.697402268505,0.0802112999723,-0.061819962654,0.335216409374,-0.440916671407,-0.448626832719,0.694090635198,0.0798304144711,0.100071036323,0.674172714663,0.731762897729,0.559688870052,0.648942722236,0.515385013361,0.548007817319,0.744430721252,0.381458167319,2.49140832613e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.065,0.15,0.0,0.0,0.0,0.016,0.065,0.15,0.018,0.071,0.155,0.0,0.0,0.0,0.018,0.071,0.155,12130.0,0.01,0.001,0.0,3.98984555097e-18,8.6384638151e-12,4.93971008129e-11,1.756021248e-31,0.0,0.96662,0.0,8.55586328709e-30,0.0,1.87445655202,0.0,1.74506221007,0.0,3.40702359804,4.452e-23,0.0,0.00574484013078,3.51e-26,0.0,3.51e-26,3.40708464275e-07,2.29533298254e-06,2.49140832613e-06,4.54587344848e-07,5.27080606466e-07,4.18603115649e-07,8.10813768286e-07,1.10143443077e-06,5.64392558487e-07,0.959572188149,0.943778489217
49,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.113,1.139,5.959,0.144,1.31,6.414,0.0,0.803823699121,0.29603697215,0.496930897077,0.0577975909382,0.126288138252,0.0263784175319,-0.48282787966,0.277035477948,0.427946250788,0.0692626328208,0.708164850724,0.0255344596216,0.345538521462,-0.309998949698,-0.556269535595,0.0670466262394,0.685507641404,0.0999175425435,0.678811443694,0.727482995404,0.641490679571,0.609202292622,0.466221272239,0.569174264507,0.739661050375,0.359085208803,2.47805662686e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.021,0.067,0.152,0.0,0.0,0.0,0.021,0.067,0.152,0.024,0.071,0.158,0.0,0.0,0.0,0.024,0.071,0.158,142662.0,0.01,0.001,0.0,1.6426794315e-14,9.02081854689e-12,4.92707509763e-11,1.83916310994e-31,0.0,0.99595,0.0,8.59677052715e-30,0.0,4.95051808702,0.0,1.40767577956,0.0,0.309041943256,4.459e-23,0.0,0.00574484013078,3.343e-26,0.0,3.343e-26,3.40353424071e-07,2.31226462619e-06,2.47805662686e-06,5.17157911256e-07,4.91127611387e-07,3.75858959471e-07,8.5714885396e-07,1.11389368983e-06,5.40764919275e-07,0.964264294176,0.949608821792
50,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.082,0.968,6.224,0.113,1.127,6.694,0.0,0.805462200044,0.566485187838,0.0789469096254,0.15315118506,-0.0252443307739,0.0973386520338,-0.37770862319,0.5125181071,0.00163759672087,0.211087412513,0.735272735275,0.0795378668244,0.439050970651,-0.624058878309,-0.14399632633,0.172484847016,0.600809890788,0.100021272185,0.682885202554,0.723646008241,0.0909035580411,0.670974667906,0.735886905825,0.368784273902,0.783217172433,0.500568696713,2.26862259877e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.018,0.061,0.156,0.0,0.0,0.0,0.018,0.061,0.156,0.021,0.066,0.161,0.0,0.0,0.0,0.021,0.066,0.161,128274.0,0.01,0.001,0.0,5.2653699034e-15,8.91055610505e-12,4.80653546384e-11,1.15919119625e-32,0.0,1.0413,0.0,1.03338911521e-30,0.0,3.76260219628,0.0,0.540954415773,0.0,0.618038192367,4.298e-24,0.0,0.00574484013078,3.263e-27,0.0,3.263e-27,1.89852510797e-07,1.29619897306e-06,1.37356792801e-06,1.72105576605e-07,1.27034061808e-06,1.39323743726e-06,1.06819968623e-06,2.26862259877e-06,1.44991899765e-06,0.970668486548,0.959051883602
51,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,0.999,5.986,0.066,1.131,6.441,0.0,0.807168526829,0.478514844658,0.307887222474,0.0899604061968,0.128899558935,-0.000690207842021,-0.490365815467,0.418574515641,0.269898838569,0.413648983357,0.583425574515,-0.000657244332823,0.328663091877,-0.550537395152,-0.353677211612,0.39389359775,0.555561859962,0.0999766490796,0.685164550393,0.721494427229,0.516043347664,0.641884308914,0.567171752912,0.851121934494,0.36080291675,0.38133018224,3.78271610184e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.062,0.153,0.0,0.0,0.0,0.015,0.062,0.153,0.016,0.066,0.158,0.0,0.0,0.0,0.016,0.066,0.158,130581.0,0.01,0.001,0.0,6.55334610856e-11,6.60844853291e-11,8.26934673682e-11,3.81246270737e-31,0.0,1.00062,0.0,2.22271158752e-29,0.0,4.43647614373,0.0,1.47795026812,0.0,5.8555306762,1.308e-22,0.0,0.00574484013078,9.909e-26,0.0,9.909e-26,4.45698148362e-07,3.05447896329e-06,3.21643837066e-06,2.11838977458e-06,2.63497468307e-06,2.328275032e-06,3.78271610184e-06,1.60354814917e-06,1.69477928134e-06,0.964958203651,0.951926840829
52,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.07,1.104,5.944,0.101,1.244,6.383,0.0,0.835811635835,0.107796664355,0.517558770021,-0.0890461643168,-0.118332112091,-0.0113421861952,-0.242352534194,0.114518994796,0.585018340996,0.385419475163,0.661231708765,-0.00928188736055,0.492411778852,-0.128956078864,-0.590357577221,0.315408343106,0.541119510327,0.0998293536949,0.688533540767,0.71830053834,0.833318619048,0.385522539532,0.396172248726,0.157914329608,0.938775853681,0.306207382422,2.28500499473e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.066,0.152,0.0,0.0,0.0,0.016,0.066,0.152,0.02,0.07,0.158,0.0,0.0,0.0,0.02,0.07,0.158,127471.0,0.01,0.001,0.0,5.78899608589e-12,1.05489042674e-11,4.9204529863e-11,1.39288398434e-31,0.0,0.99328,0.0,6.67082389094e-30,0.0,5.95720239419,0.0,1.14975000346,0.0,5.46369644067,3.391e-23,0.0,0.00574484013078,2.677e-26,0.0,2.677e-26,3.17569818812e-07,2.19031240506e-06,2.28500499473e-06,1.37020306121e-06,6.33904189533e-07,6.51415215693e-07,3.10993376312e-07,1.84880671097e-06,6.03038799251e-07,0.963562453683,0.949059491282
53,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,1.069,6.08,0.086,1.19,6.55,0.0,0.807033089328,0.522601024681,0.233680780656,0.0353682424188,0.140456904112,-0.0686585172798,-0.448548431031,0.457270712516,0.257818292175,0.663471046977,0.279874447819,-0.0647029047911,0.372292143169,-0.592194619348,-0.21452323479,0.62524659263,0.263750084741,0.0997121788688,0.694822944311,0.712234903276,0.765065608632,0.371336503952,0.526102476064,0.592358418315,0.7122329135,0.376610914844,2.45486432696e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.064,0.154,0.0,0.0,0.0,0.016,0.064,0.154,0.018,0.068,0.16,0.0,0.0,0.0,0.018,0.068,0.16,111831.0,0.01,0.001,0.0,3.97733393762e-12,9.71537265204e-12,5.07215423708e-11,1.82796858384e-31,0.0,1.01662,0.0,9.03530556827e-30,0.0,4.00817498929,0.0,4.53336144388,0.0,2.53185187608,4.675e-23,0.0,0.00574484013078,3.903e-26,0.0,3.903e-26,3.43678566921e-07,2.39485042322e-06,2.45486432696e-06,8.23425394339e-07,3.9966233451e-07,5.66233972522e-07,1.05263509584e-06,1.26565494468e-06,6.692466152e-07,0.966540927272,0.954023818947
54,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.07,1.026,6.274,0.089,1.166,6.725,0.0,0.81422872923,0.140413202831,0.5426220521,-0.107455398228,-0.106444139971,0.047240467101,-0.347985536183,0.195536021965,0.625833798867,0.65695885621,0.123195724078,0.0514698362149,0.459409226434,-0.0921263900642,-0.497449383966,0.715775410451,0.134225254952,0.0998917096378,0.696229250571,0.71083505611,0.552542797041,0.50110156889,0.666028284004,0.200365026032,0.713565119971,0.671326057817,2.31803553816e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.063,0.156,0.0,0.0,0.0,0.016,0.063,0.156,0.019,0.067,0.162,0.0,0.0,0.0,0.019,0.067,0.162,74858.0,0.01,0.001,0.0,2.06810448163e-13,8.7658081754e-12,5.13172265371e-11,1.26279831648e-31,0.0,1.04998,0.0,7.22956451932e-30,0.0,0.601867113351,0.0,4.3178478222,0.0,0.677907532333,3.746e-23,0.0,0.00574484013078,3.131e-26,0.0,3.131e-26,3.2574720523e-07,2.27040595657e-06,2.31803553816e-06,9.37027988212e-07,8.49791541038e-07,1.12948199921e-06,2.42475555086e-07,8.63534430043e-07,8.12418023927e-07,0.971518465506,0.959983287574
80,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.117,1.182,5.714,0.144,1.372,6.138,0.0,0.797268931669,0.50639768962,0.290169805119,0.153991813546,0.00341117290507,0.0281455896442,-0.498381231247,0.448071812175,0.233001786911,0.662488094141,0.238485466382,0.0277091292128,0.338257932468,-0.541330672064,-0.333565265064,0.652214731849,0.234787214867,0.12237492154,0.670825021569,0.731449361894,0.595821214671,0.585867391915,0.54932365618,0.171572474872,0.720725261261,0.671653172141,1.88033231262e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.021,0.068,0.149,0.0,0.0,0.0,0.021,0.068,0.149,0.024,0.073,0.154,0.0,0.0,0.0,0.024,0.073,0.154,54824.0,0.01,0.001,0.0,3.49423600252e-18,8.66327289322e-12,4.81722567404e-11,1.04521946884e-31,0.0,0.95395,0.0,2.7883646707e-30,0.0,6.11015089638,0.0,0.853119966759,0.0,0.0780849405516,1.447e-23,0.0,0.00574484013078,1.19e-26,0.0,1.19e-26,3.14588447559e-07,1.72448569906e-06,1.88033231262e-06,8.8715261335e-07,8.72331791847e-07,8.17919713423e-07,4.27450363504e-07,1.79559265052e-06,1.67333596368e-06,0.958218712654,0.941507891356
82,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.097,1.291,5.792,0.117,1.454,6.228,0.0,0.819006162818,0.331511347126,0.439704071444,0.137084696565,0.0848365930265,0.00808919295315,-0.476375914893,0.303475889002,0.39348437873,0.583262249552,0.431135859567,0.00746433177865,0.319646275881,-0.399748634823,-0.538548060743,0.538207330426,0.397832159044,0.122373776577,0.678484838326,0.72435004174,0.260063303269,0.244159344422,0.934212659315,0.303008477371,0.833009147832,0.462905629983,2.54260717627e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.019,0.071,0.15,0.0,0.0,0.0,0.019,0.071,0.15,0.021,0.075,0.156,0.0,0.0,0.0,0.021,0.075,0.156,27913.0,0.01,0.001,0.0,3.09159170936e-15,9.00800892219e-12,5.08881763525e-11,2.81933290606e-32,0.0,0.96728,0.0,8.9526732592e-31,0.0,3.01504014935,0.0,5.72911718804,0.0,0.490890490711,3.866e-24,0.0,0.00574484013078,3.046e-27,0.0,3.046e-27,2.26212930961e-07,1.25420697296e-06,1.33899067731e-06,5.0272442122e-07,4.71980719951e-07,1.80591230114e-06,9.24877633144e-07,2.54260717627e-06,1.41293427545e-06,0.960026276973,0.944789139597
83,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.117,1.116,5.893,0.148,1.287,6.313,0.0,0.782444029866,0.600532340179,0.0388219157928,-0.16010430236,-0.00131139073714,-0.0651854778927,-0.402345364833,0.629152215994,0.090911552611,0.411441644185,0.510379675351,-0.0733783776386,0.465044099728,-0.482818958924,0.0253416429485,0.463154084609,0.574527237778,0.122391085159,0.682127447153,0.720917865027,0.589269301361,0.363452071077,0.721570705131,0.444160475238,0.834009889548,0.327336182498,2.41038009854e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.021,0.066,0.151,0.0,0.0,0.0,0.021,0.066,0.151,0.024,0.071,0.157,0.0,0.0,0.0,0.024,0.071,0.157,39946.0,0.01,0.001,0.0,2.38607437594e-14,8.70803889925e-12,4.98270716977e-11,2.29072800967e-31,0.0,0.98461,0.0,7.90421576358e-30,0.0,0.568491010023,0.0,4.44119463537,0.0,4.24175705878,4.137e-23,0.0,0.00574484013078,3.25e-26,0.0,3.25e-26,4.09213102101e-07,2.28068480898e-06,2.41038009854e-06,8.97445239404e-07,5.53530160464e-07,1.09893760411e-06,4.25833928127e-07,7.99597729117e-07,3.13829933509e-07,0.9626219152,0.947552684853
84,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.105,1.205,5.944,0.117,1.392,6.453,0.0,0.798741818498,0.511898045291,0.284112054447,0.136586173075,-0.0244224579472,0.0754880198763,-0.441139708109,0.507718663825,0.218510842438,0.333078082275,0.619056603255,0.0749055719656,0.395092368257,-0.489672040841,-0.334569565718,0.330508129673,0.614280107253,0.122452767719,0.685499611888,0.717701610546,0.674893857018,0.496791440285,0.545634077582,0.545128245534,0.73237258839,0.408001945702,2.44091209126e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.02,0.068,0.152,0.0,0.0,0.0,0.02,0.068,0.152,0.021,0.074,0.158,0.0,0.0,0.0,0.021,0.074,0.158,32043.0,0.01,0.001,0.0,3.16980341487e-13,8.95876391377e-12,4.86082858168e-11,2.49962269866e-31,0.0,0.99328,0.0,8.46631332468e-30,0.0,2.36536924967,0.0,4.82568357186,0.0,3.27822160232,4.429e-23,0.0,0.00574484013078,3.615e-26,0.0,3.615e-26,4.16463383867e-07,2.33139269388e-06,2.44091209126e-06,6.45040355391e-07,4.74816186078e-07,5.21498300299e-07,7.47047105492e-07,1.00364790631e-06,5.5912837955e-07,0.964147592831,0.949197670318
85,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.078,1.166,5.944,0.089,1.341,6.402,0.0,0.799586405051,0.4823467596,0.32723375117,-0.137559649092,0.0447056975894,-0.0768133725449,-0.440110854291,0.474321510958,0.38945349405,0.229410220612,0.60919469189,-0.0879345538099,0.391575327155,-0.473482886947,-0.243759536391,0.262624654023,0.697395019122,0.122485680123,0.689155667842,0.714186056743,0.565986429352,0.339940627329,0.751065730599,0.589318127842,0.485591901446,0.645681538723,2.40942913043e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.017,0.067,0.152,0.0,0.0,0.0,0.017,0.067,0.152,0.019,0.072,0.158,0.0,0.0,0.0,0.019,0.072,0.158,38283.0,0.01,0.001,0.0,1.59082506542e-18,8.55114116797e-12,4.85993218058e-11,2.5389753252e-31,0.0,0.99328,0.0,8.15782629959e-30,0.0,4.95743030862,0.0,1.75244556732,0.0,4.94122350411,4.289e-23,0.0,0.00574484013078,3.424e-26,0.0,3.424e-26,4.13226445635e-07,2.32498482129e-06,2.40942913043e-06,8.12248475014e-07,4.87849605263e-07,1.07785622177e-06,4.36719491004e-07,3.59852239421e-07,4.78488102809e-07,0.963872773362,0.948925712162
